Phone,VMailMessage,DayMins,EveMins,NightMins,IntlMins,CustServCalls,DayCalls,EveCalls,NightCalls,IntlCalls,AccountLength,IntlPlan
382-4657,25,265.1,197.4,244.7,10,1,110,99,91,3,128,0
371-7191,26,161.6,195.5,254.4,13.7,1,123,103,103,3,107,0
358-1921,0,243.4,121.2,162.6,12.2,0,114,110,104,5,137,0
375-9999,0,299.4,61.9,196.9,6.6,2,71,88,89,7,84,1
330-6626,0,166.7,148.3,186.9,10.1,3,113,122,121,3,75,1
391-8027,0,223.4,220.6,203.9,6.3,0,98,101,118,6,118,1
355-9993,24,218.2,348.5,212.6,7.5,3,88,108,118,7,121,0
329-9001,0,157,103.1,211.8,7.1,0,79,94,96,6,147,1
335-4719,0,184.5,351.6,215.8,8.7,1,97,80,90,4,117,0
330-8173,37,258.6,222,326.4,11.2,0,84,111,97,5,141,1
329-6603,0,129.1,228.5,208.8,12.7,4,137,83,111,6,65,0
344-9403,0,187.7,163.4,196,9.1,0,127,148,94,5,74,0
363-1107,0,128.8,104.9,141.1,11.2,1,96,71,128,2,168,0
394-8006,0,156.6,247.6,192.3,12.3,3,88,75,115,5,95,0
366-9238,0,120.7,307.2,203,13.1,4,70,76,99,6,62,0
351-7269,0,332.9,317.8,160.6,5.4,4,67,97,128,9,161,0
350-8884,27,196.4,280.9,89.3,13.8,1,139,90,75,4,85,0
386-2923,0,190.7,218.2,129.6,8.1,3,114,111,121,3,93,0
356-2992,33,189.7,212.8,165.7,10,1,66,65,108,5,76,0
373-2782,0,224.4,159.5,192.8,13,1,90,88,74,2,73,0
396-5800,0,155.1,239.7,208.8,10.6,0,117,93,133,4,147,0
393-7984,0,62.4,169.9,209.6,5.7,5,89,121,64,6,77,0
358-1958,0,183,72.9,181.8,9.5,0,112,99,78,19,130,0
350-2565,0,110.4,137.3,189.6,7.7,2,103,102,105,6,111,0
343-4696,0,81.1,245.2,237,10.3,0,86,72,115,2,132,0
331-3698,0,124.3,277.1,250.7,15.5,3,76,112,115,5,174,0
357-3817,39,213,191.1,182.7,9.5,0,115,112,115,3,57,0
418-6412,0,134.3,155.5,102.1,14.7,3,73,100,68,4,54,0
353-2630,0,190,258.2,181.5,6.3,0,109,84,102,6,20,0
410-7789,0,119.3,215.1,178.7,11.1,1,117,109,90,1,49,0
416-8428,0,84.8,136.7,250.5,14.2,2,95,63,148,6,142,0
370-3359,0,226.1,201.5,246.2,10.3,1,105,107,98,5,75,0
383-1121,0,212,31.2,293.3,12.6,3,121,115,78,10,172,0
360-1596,0,249.6,252.4,280.2,11.8,1,118,119,90,3,12,0
395-2854,25,176.8,195,213.5,8.3,0,94,75,116,4,57,0
362-1407,37,220,217.3,152.8,14.7,3,80,102,71,6,72,0
341-9764,30,146.3,162.5,129.3,14.5,0,128,80,109,6,36,0
353-3305,0,130.8,223.7,227.8,10,1,64,116,108,5,78,0
402-1381,33,203.9,187.6,101.7,10.5,3,106,99,107,6,136,1
332-9891,0,140.4,271.8,188.3,11.1,1,94,92,108,9,149,0
372-9976,0,126.3,166.8,187.8,9.4,3,102,85,135,2,98,0
383-6029,41,173.1,203.9,122.2,14.6,0,85,107,78,15,135,1
353-7289,0,124.8,282.2,311.5,10,2,82,98,78,4,34,0
390-7274,0,85.8,165.3,178.5,9.2,3,77,110,92,4,160,0
352-1237,0,154,225.8,265.3,3.5,1,67,118,86,3,64,0
353-3061,28,120.9,213,163.1,8.5,2,97,92,116,5,59,0
363-5450,0,211.3,162.6,134.7,13.2,3,120,122,118,5,65,0
364-1995,0,187,134.6,242.2,7.4,2,133,74,127,5,142,0
398-1294,0,159.1,231.3,143.2,8.8,5,114,117,91,3,119,0
405-7146,24,133.2,217.2,70.6,11,1,135,58,79,3,97,0
413-4957,0,191.9,269.8,236.8,7.8,3,108,96,87,5,52,0
420-5645,0,220.6,211.1,249,6.8,1,57,115,129,3,60,0
349-4396,0,186.1,190.2,282.8,11.4,2,112,66,57,6,10,0
404-3211,0,160.2,267.5,228.5,9.3,2,117,67,68,5,96,0
353-3759,0,151,219.7,203.9,9.7,5,83,116,127,3,87,0
363-5947,0,175.5,249.3,270.2,10.2,1,67,85,98,3,81,0
340-5121,0,126.9,180,140.8,8,1,98,62,128,2,141,0
370-7574,30,198.4,75.3,181.2,5.8,3,129,77,77,3,121,0
403-9733,0,148.8,246.5,129.8,12.1,3,70,164,103,3,68,0
355-7251,0,229.3,177.4,189.3,12,1,103,126,95,8,125,0
359-5893,0,192.1,169.9,166.6,11.4,1,97,94,54,4,174,0
405-3371,34,268.6,178.2,166.3,11.6,2,83,142,106,3,116,0
344-5117,33,193.7,246.1,138,14.6,2,91,96,92,3,74,0
332-8160,28,180.7,187.8,265.5,12.6,3,92,64,53,3,149,0
359-4081,0,131.2,162.9,159,8.2,2,98,97,106,6,38,0
352-8305,41,148.1,169.5,214.1,6.2,2,74,88,102,5,40,0
329-9847,0,251.5,212.8,157.8,9.3,0,105,104,67,4,43,1
365-9011,0,125.2,206.4,129.3,8.3,0,93,119,139,8,113,1
338-9472,0,211.6,216.9,153.5,7.8,1,70,80,60,1,126,0
374-8042,0,178.9,169.1,148.6,13.8,4,101,110,100,3,150,0
359-1231,0,241.8,170.5,295.3,11.8,3,93,83,104,7,138,0
413-7170,46,224.9,188.2,254.6,12.1,0,97,84,61,2,162,0
415-2935,0,248.6,148.9,172.5,8,3,83,85,109,4,147,0
399-4246,0,203.4,226.7,152.4,7.3,1,146,117,105,4,90,0
362-5889,0,235.8,157.2,188.2,12,0,109,94,99,3,85,0
350-8921,0,157.1,223.3,181.4,6.1,1,90,72,111,2,50,0
